Surveyor,Year,Date,Plot Number,Treatment,Quadrat,L1,L2,Absorption,Height,BioMass Alive,Biomass Dead,Bare,Moss,Fescue,Onion Couch,Cocksfoot,Blue Sedge,Luzula campestrus,Lady's Bedstraw,Birdsfoot Trefoil,White Clover,Red Clover,Yarrow,Eyebright,Yellow Rattle,Ribwort Plantain,Autumnalis,Catsear,Sheeps sorrel,Marsh Orchid,Common Milkwort,Kidney Vetch,Ragwort,Buttercup,Holcus molinia,Horsetail,Mayweed,Sea carrot,Sand Sedge,Chickweed,Black Napweed,Wild thyme,Pyramidal Orchid,Wild angellica,Couch grass?,Perrennial Ryegrass,Self heal,Sea Sandwort,Poa sp.,Fairy flax,Crested Hair Grass,Dandilion,Hogweed,Meadowsweet,Sand Couch X Sea Couch
AT,2019,June 2019',1,No Graze,South,1124,290,834,5.7,27.82,6.33,0,0,45,0,7,5,1,15,4,1,5,0,3,10,25,4,2,0,0,1,3,0,0,1,0,0,2,2,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0
AT,2019,June 2019',1,No Graze,North,2480,118,2362,6.7,27.82,6.33,0,2,70,0,8,8,2,15,8,3,3,0,1,6,6,10,6,0,0,1,2,0,2,2,0,0,2,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0
AT,2019,June 2019',1,No Graze,West,1289,735,554,5.5,27.82,6.33,5,3,40,1,6,7,1,15,3,1,0,0,5,7,15,3,4,0,0,1,2,3,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0
AT,2019,June 2019',1,No Graze,East,1895,1485,410,4,27.82,6.33,0,4,45,0,10,12,1,15,8,1,3,0,1,4,20,7,3,0,0,0,8,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AT,2020,June 2020',1,No Graze,South,1263,143,1120,9.9,34.55,5.79,1.1,0,60,0,6,12,3,10,5,0,3,0,0,3,7,5,2,0,0,1,2,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
AT,2020,June 2020',1,No Graze,East,1450,400,1050,4.9,34.55,5.79,0,4,70,1,10,3,2,15,4,0,1,0,2,1,3,3,1,0,0,1,2,0,1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0
AT,2020,June 2020',1,No Graze,West,1740,180,1560,9.3,34.55,5.79,2,6,45,0,20,10,4,30,4,1,2,0,0,2,14,4,2,0,0,2,0,2,1,3,0,2,0,2,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0
AT,2020,June 2020',1,No Graze,North,1650,204,1446,7.2,34.55,5.79,0,10,65,2,12,8,1,12,10,0,3,0,1,3,4,3,2,0,0,1,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
AT,2021,June 2021',1,No Graze,North,1525,456,1069,6.6,33.63,15.65,0,3,70,0,2,3,2,2,3,1,2,0,4,2,2,2,3,0,0,5,3,0,2,4,0,0,0,2,2,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0
AT,2021,June 2021',1,No Graze,South,820,220,600,9.6,33.63,15.65,0,6,30,0,2,6,2,20,6,0,4,0,5,2,2,3,3,0,0,0,2,0,1,11,0,3,0,0,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
